assignment_index,source_inscription_id,destination_address,drop_file,drop_metadata_source,drop_title,drop_ink_status,drop_radius,drop_noise_amp,drop_c_offset_0,drop_c_offset_1,drop_m_offset_0,drop_m_offset_1,drop_y_offset_0,drop_y_offset_1,drop_k_offset_0,drop_k_offset_1
35,91ad667c728609d5a0d704e3b3d25f8466533f50fcb246e6553db567ddaaf2d7i3,bc1p44ka9smp276xevqj6h3gmc89euykwzqzrzf88ry6cc8a7cvs0weqag9t59,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.32,4.38e-06,0.00424,0.00694,0.00182,-0.00035,-0.00268,0.00136,20000,20000
36,4a9390488dc2f2b66d2ca0f233c1f44388d091fac486930912e21d1e7391cf28i4,bc1p2ny7wn6wq9t86cnxzn8s40yhch8744kwpw2r4fv3pvvxlaxdemdqvg2ksc,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.49,1.0e-06,0.00344,0.000255,0.00178,-0.000123,-0.00515,0.00123,20000,20000
37,2287c5b9663d0574a814be5b27439bf7cb6c41799700d594a3125c8d03c405bei7,bc1pyatqfzuxhm4zaxx9lj7l0z4xrg3ujlx7shqx5wtyfr3c8ptzrj4syp0c6m,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.1,3.66e-05,0.00752,-0.00177,-0.00197,-0.00397,-0.00341,-0.00243,20000,20000
38,4a9390488dc2f2b66d2ca0f233c1f44388d091fac486930912e21d1e7391cf28i0,bc1pg00xgzm2eyp99kmvsw2pavg4gaj3kv8yzrewtyhzf8t3zqwlt2hsy42j5t,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.19,1.75e-06,0.000477,-0.000643,-0.00456,-0.00117,0.00337,-0.00323,20000,20000
39,07affe376fe82412150f85d900452659228ffd3aff15dcc48b0f02b44038c28bi5,bc1p3vxd4l5dkpfwnat36n62qh43swdfpw9ltf75hq3t9rt4f8r97ydqrj26vt,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.2,6.91e-06,-0.0539,0.000907,0.0992,-0.019,-0.00509,-0.000696,20000,20000
40,da47dec3809476874fa1887bbaa9d1a719a9aa70ddc238f233ed6d0e761eff69i1,bc1pfrvtm4h90urk37y6xymr6rnr26d0yppxfld6hztyqj9c5klc7wyq68w2a4,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.31,1.27e-06,0.00404,-8.41E-05,0.00476,0.000632,0.00122,-0.00059,20000,20000
41,e5aa1afd092a3509fed55d83214bedc3019d3f791aef31a5b43abf1cc6049202i2,bc1p3xmcrupvhuthzzk2leuqza040jgekndvtdq3pykszqcg4ahr9q5qvx6c5s,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.29,1.27e-05,0.000448,0.00142,0.0028,-0.0063,0.00472,-0.000233,20000,20000
42,9ff91c0ae6a578f3e74bd304f163e55a52c2347d7a3e97b2f3c3c1a22f58afa2i0,bc1pp3qy2cdpldezkcmx3sclzz5eqnmlm768xn5p50jtvsy62w7mvgqqpmyz9q,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.2,8.17e-06,-0.00316,0.00298,0.00174,0.00121,0.00297,0.00238,20000,20000
43,e3c985f073fceb7e3ccb04bb5c94653f15b627752cfe3603f6906d98cfa74037i2,bc1pmzyy3g09lddjxx9vx8ed2yn7sgjap9uwqqaazuk68v5f9rg6wu5sh5ysr7,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.08,4.7e-06,0.00381,6.49e-05,-0.00497,-0.00303,0.00111,-0.00383,20000,20000
44,de138102756697f532fa87a4a4a5acd0b156f9983d2814d8bbb6038057e24a3ei6,bc1p9lrphpr2k7ht7xxhtcj6ywkfst876chnycpyfn3whrmtga0wlcaspwua9r,./inscribed.html,63594e1b8512a5ad3215acfb7470f181444c773c0953d875f9713fca3d896774i0,Triumph of Bitcoin,0,2.2,1.23e-05,-0.000184,-0.00214,-0.0104,0.00065,-0.00208,0.00159,20000,20000
